MB_CODE21,Population,Vulnerable,Distance_km,Priority_Score
20177070000,655.0,295.0,2.790313655793242,0.5586367464712702
21344990000,350.0,206.0,3.547404758583553,0.3911598300887636
20085370000,542.0,201.0,0.2762805400109181,0.378647347844199
20631993050,288.0,198.0,2.1436402864704833,0.36613431841096217
20352640000,313.5,23.0,57.792788336430405,0.36011550787475793
20117090000,378.0,166.0,8.601552490441506,0.35148652241324363
20353560000,313.5,23.0,51.61990552915065,0.3280723257496176
20604440000,358.0,160.0,3.077534715002793,0.3112939174707047
20631999200,375.0,160.0,2.229298839522726,0.3080366984002823
20354440000,296.0,13.0,49.948393954366765,0.30126678226590436
